Date,Industrial production,CFNAI Index,Manufacturing ISM,Manufacturing ISM - Price Paid,Service ISM,Service ISM - Price Paid,US Retail Sales,Industrial production_growth,US Retail Sales_growth,CFNAI Index_chg,Manufacturing ISM_chg,Manufacturing ISM - Price Paid_chg,Service ISM_chg,Service ISM - Price Paid_chg
2015-11-30,99.5298,-0.36,49.1,49.1,55.3,50.6,413213.0,-0.7384517731685705,0.9375562555249107,-0.09999999999999998,0.0,0.0,-0.8000000000000043,1.8000000000000043
2015-12-31,99.0417,-0.3,48.7,48.7,53.8,47.0,412989.0,-0.49161232406853894,-0.05422402886665524,0.06,-0.3999999999999986,-0.3999999999999986,-1.5,-3.6000000000000014
2016-01-31,99.5607,0.09,47.6,47.6,52.8,45.9,420393.0,0.5226534839914181,1.7769029831651628,0.39,-1.1000000000000014,-1.1000000000000014,-1.0,-1.1000000000000014
2016-02-29,99.0445,-0.23,49.2,49.2,55.4,50.6,417093.0,-0.5198264319300556,-0.7880769539497224,-0.32,1.6000000000000014,1.6000000000000014,2.6000000000000014,4.700000000000003
2016-03-31,98.3096,-0.33,51.0,51.0,55.2,53.9,416295.0,-0.7447561483016334,-0.19150749564177286,-0.1,1.7999999999999972,1.7999999999999972,-0.19999999999999574,3.299999999999997
2016-04-30,98.6421,-0.1,51.3,51.3,54.1,55.0,417899.0,0.3376465558706353,0.3845632974539525,0.23,0.29999999999999716,0.29999999999999716,-1.1000000000000014,1.1000000000000014
2016-05-31,98.4184,-0.35,51.4,51.4,55.8,55.9,421761.0,-0.22703697198567713,0.9199026353927952,-0.24999999999999997,0.10000000000000142,0.10000000000000142,1.6999999999999957,0.8999999999999986
2016-06-30,98.8833,0.13,52.2,52.2,56.2,52.6,423943.0,0.4712588491570034,0.5160209344669853,0.48,0.8000000000000043,0.8000000000000043,0.4000000000000057,-3.299999999999997
2016-07-31,98.9992,0.05,52.7,52.7,52.6,52.0,424326.0,0.11714023549630953,0.09030154963249339,-0.08,0.5,0.5,-3.6000000000000014,-0.6000000000000014
2016-08-31,98.85,-0.21,49.8,49.8,55.4,52.8,425313.0,-0.1508219677233403,0.23233407223024974,-0.26,-2.9000000000000057,-2.9000000000000057,2.799999999999997,0.7999999999999972
2016-09-30,98.7457,-0.09,51.1,51.1,54.3,54.8,424916.0,-0.10556910872728154,-0.09338661204268121,0.12,1.3000000000000043,1.3000000000000043,-1.1000000000000014,2.0
2016-10-31,98.7611,-0.07,51.8,51.8,56.4,54.6,424941.0,0.015594399819346511,0.005883342728772841,0.01999999999999999,0.6999999999999957,0.6999999999999957,2.1000000000000014,-0.19999999999999574
2016-11-30,98.3491,-0.22,53.2,53.2,55.8,56.3,430679.0,-0.41804087257064787,1.3412697277155141,-0.15,1.4000000000000057,1.4000000000000057,-0.6000000000000014,1.6999999999999957
2016-12-31,99.0214,0.38,54.4,54.4,57.0,57.2,430648.0,0.6812594589355484,-0.007198195345875884,0.6,1.1999999999999957,1.1999999999999957,1.2000000000000028,0.9000000000000057
2017-01-31,98.7611,-0.11,55.7,55.7,56.6,57.9,430799.0,-0.26321858636490175,0.03505729349489306,-0.49,1.3000000000000043,1.3000000000000043,-0.3999999999999986,0.6999999999999957
2017-02-28,98.3646,-0.09,57.7,57.7,56.2,54.4,430662.0,-0.40228192946493696,-0.03180643143565571,0.020000000000000004,2.0,2.0,-0.3999999999999986,-3.5
2017-03-31,99.0137,0.02,56.5,56.5,57.2,58.3,432710.0,0.6577241165916399,0.47441979616294083,0.11,-1.2000000000000028,-1.2000000000000028,1.0,3.8999999999999986
2017-04-30,100.0224,0.34,55.8,55.8,57.4,49.6,433098.0,1.0135936505023562,0.08962726747120098,0.32,-0.7000000000000028,-0.7000000000000028,0.19999999999999574,-8.699999999999996
2017-05-31,100.1408,0.02,56.4,56.4,56.8,53.6,436332.0,0.1183034781709034,0.7439391130602566,-0.32,0.6000000000000014,0.6000000000000014,-0.6000000000000014,4.0
2017-06-30,100.3471,0.16,56.2,56.2,55.4,56.3,437463.0,0.2057980285209821,0.2588709323372968,0.14,-0.19999999999999574,-0.19999999999999574,-1.3999999999999986,2.6999999999999957
2017-07-31,100.1068,-0.16,56.5,56.5,55.8,58.0,435885.0,-0.23975598889276148,-0.3613683702762221,-0.32,0.29999999999999716,0.29999999999999716,0.3999999999999986,1.7000000000000028
2017-08-31,99.6925,0.01,58.4,58.4,58.1,64.7,441340.0,-0.4147167620660212,1.2437106364963912,0.17,1.8999999999999986,1.8999999999999986,2.3000000000000043,6.700000000000003
2017-09-30,99.7954,0.18,60.0,60.0,60.4,61.1,443034.0,0.10316416096038926,0.3830963080779854,0.16999999999999998,1.6000000000000014,1.6000000000000014,2.299999999999997,-3.6000000000000014
2017-10-31,101.0247,0.54,58.6,58.6,57.1,59.2,446441.0,1.2242951327366367,0.7660736191948647,0.36000000000000004,-1.3999999999999986,-1.3999999999999986,-3.299999999999997,-1.8999999999999986
2017-11-30,101.2664,0.23,57.6,57.6,56.3,61.2,449303.0,0.23896267805680657,0.6390240379353712,-0.31000000000000005,-1.0,-1.0,-0.8000000000000043,2.0
